,Gaia ID,MAIN_ID,Distance,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,FLUX_U,FLUX_BIBCODE_U,FLUX_ERROR_U,FLUX_SYSTEM_U,FLUX_UNIT_U,FLUX_B,FLUX_BIBCODE_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_UNIT_B,FLUX_V,FLUX_BIBCODE_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_UNIT_V,FLUX_J,FLUX_BIBCODE_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_UNIT_J,FLUX_H,FLUX_BIBCODE_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_UNIT_H,FLUX_K,FLUX_BIBCODE_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_UNIT_K,IDS,MEMBERSHIP,OTYPE,OTYPE_opt,PLX_VALUE,PLX_BIBCODE,ROT_upVsini,ROT_Vsini,ROT_err,ROT_mes,ROT_qual,ROT_bibcode,RV_VALUE,SP_TYPE,SP_QUAL,SP_BIBCODE,SCRIPT_NUMBER_ID,sci_targname
365,HD142256,HD 142256,181.9174095,15 55 22.8856,-44 31 33.651,14,14,0.0251,0.0177,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,6.940000057,2000A&A...355L..27H,0.01,Vega,B,6.960000038,2000A&A...355L..27H,0.01,Vega,V,6.93900013,2003yCat.2246....0C,0.024,Vega,J,6.967999935,2003yCat.2246....0C,0.037999999,Vega,H,6.986999989,2003yCat.2246....0C,0.024,Vega,K,HD 142256|CD-44 10501|CPC  0 14173|CPD-44  7679|GC 21361|GEN# +1.00142256|GSC 07850-01193|HIC  77968|HIP 77968|2MASS J15552289-4431337|PPM 321191|SAO 226363|SKY# 28748|TIC 255134616|TYC 7850-1193-1|uvby98 100142256|Gaia DR2 5988369031323716992|Gaia DR3 5988369031323716992|Gaia DR1 5988369031323716992,[],RotV*,Ro*,5.497,2020yCat.1350....0G,,,,0,,,0.5,B8V,C,1978MSS...C02....0H,1,HD142256
381,HD147934,* rho Oph B,182.6017092,16 25 35.0324,-23 26 46.923,14,14,0.137899995,0.075900003,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,5.260000229,,,Vega,B,6.659999847,2002A&A...384..180F,0,Vega,V,,,,,,,,,,,,,,,,HD 147934|*   5 Oph B|* rho Oph B|ADS 10049 B|ALS 15029|CCDM J16255-2327B|CD-23 12861B|CPD-23  6369B|CSI-23 12861 22|Elia 2-67|GC 22078|GCRV  9444|HR  6113|IRAS 16225-2319|ROT  2334|SAO 184381|TYC 6794-549-2|UBV   13903|WDS J16256-2327B|WEB 13618|[MMG98] RX J1625.5-2326b|Gaia DR3 6050943410590451328|Gaia DR2 6050943410590451328,[],Star,*,5.4764,2020yCat.1350....0G,,300,,0,D,1970CoKwa.189....0U,-10,B2V,C,1988MSS...C04....0H,1,HD147934
384,HD148594,HD 148594,183.4391166,16 30 15.6761,-27 54 58.506,14,14,0.026699999,0.015799999,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,6.964000225,2000A&A...355L..27H,0.015,Vega,B,6.892000198,2000A&A...355L..27H,0.01,Vega,V,6.420000076,2003yCat.2246....0C,0.024,Vega,J,6.414000034,2003yCat.2246....0C,0.048999999,Vega,H,6.361000061,2003yCat.2246....0C,0.021,Vega,K,HD 148594|CD-27 10967|CPD-27  5408|EPIC 202911961|GC 22178|GEN# +1.00148594|GSC 06803-02097|HIC  80819|HIP 80819|2MASS J16301567-2754586|N30 3692|PPM 265600|ROT  2348|SAO 184428|SKY# 29738|SRS  43503|TD1 19227|TIC 323181418|TYC 6803-2097-1|UBV   13936|UBV M  21462|uvby98 100148594|YZ 117 10321|[SC96] Oph  68|Gaia DR2 6044312015450235904|Gaia DR3 6044312015450235904,[],Star,*,5.4514,2020yCat.1350....0G,,300,,0,D,1970CoKwa.189....0U,-25,B8V,C,1982MSS...C03....0H,1,HD148594
980,TON21,Ton  21,183.6142632,09 42 50.6352,+26 00 59.844,14,14,0.045600001,0.040899999,90,A,O,2020yCat.1350....0G,,,,,,,,67930,7.820000172,,,,,2005ApJS..156...47L,,,,,,14.18000031,,,Vega,B,14.52999973,,,Vega,V,15.35900021,2003yCat.2246....0C,0.059999999,Vega,J,15.56599998,2003yCat.2246....0C,0.170000002,Vega,H,,,,,,WD 0939+262|GALEX J094250.7+260058|GEN# +6.10070021|2MASS J09425065+2600599|PG 0939+262|SDSS J094250.63+260059.7|1SWASP J094250.60+260100.1|TIC 233432206|Ton  21|UBV M  43103|Gaia DR2 646608632082864256|Gaia DR3 646608632082864256,[],WhiteDwarf,WD*,5.4462,2020yCat.1350....0G,,,,0,,,,DA.7,C,2011ApJ...743..138G,1,TON21
965,TIC380638755,PG 1141+078,184.4814227,11 43 59.3526,+07 29 05.800,14,14,0.054000001,0.040899999,90,A,O,2020yCat.1350....0G,,,,,,,,62493,7.550000191,,,,,2020A&A...638A.131N,,,,,,14.10999966,,,Vega,B,14.47000027,2011MNRAS.410..899F,,Vega,V,15.11800003,2003yCat.2246....0C,0.048,Vega,J,15.15100002,2003yCat.2246....0C,0.093000002,Vega,H,,,,,,WD 1141+077|GALEX J114359.3+072905|2MASS J11435934+0729058|PG 1141+078|1SWASP J114359.35+072906.1|TIC 380638755|USNO-B1.0 0974-00250114|Gaia DR2 3910122047137575424|Gaia DR3 3910122047137575424,[],WhiteDwarf,WD*,5.4206,2020yCat.1350....0G,,,,0,,,35.8,DA.8,C,2011ApJ...743..138G,1,TIC380638755
572,HD72779,*  35 Cnc,186.7832194,08 35 19.4461,+19 35 24.230,14,14,0.022299999,0.0137,90,A,O,2020yCat.1350....0G,,,,,,,,0,,0.289999992,,SUN,,2018AJ....155..149B,,,,,,7.248000145,2000A&A...355L..27H,0.015,Vega,B,6.558000088,2000A&A...355L..27H,0.01,Vega,V,5.374000072,2003yCat.2246....0C,0.024,Vega,J,5.097000122,2003yCat.2246....0C,0.035999998,Vega,H,4.997000217,2003yCat.2246....0C,0.02,Vega,K,*  35 Cnc|AG+19  847|BD+20  2118|Cl* NGC 2632     VL     133|GC 11762|GCRV  5641|GEN# +2.26321133|GSC 01395-02327|HD  72779|HIC  42133|HIP 42133|HR  3387|JP11  4206|2MASS J08351945+1935242|PPM 125441|ROT  3669|SAO  97928|SKY# 16403|TD1 12702|TIC 195184975|TYC 1395-2327-1|UBV    8147|UBV M  33633|uvby98 226321133|WEB  8095|YZ  19  3436|Gaia DR2 662794169095142912|Gaia DR3 662794169095142912|Gaia DR1 662794164798230016,[],Star,*,5.3538,2020yCat.1350....0G,,95,,0,D,1970CoKwa.189....0U,28.684,G0III,C,2001AJ....121.2148G,1,HD72779
307,HD102065,HD 102065,188.6721256,11 43 36.9451,-80 29 00.511,14,14,0.020199999,0.0209,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,6.670000076,2000A&A...355L..27H,0.01,Vega,B,6.610000134,2000A&A...355L..27H,0.01,Vega,V,6.193999767,2003yCat.2246....0C,0.018999999,Vega,J,6.173999786,2003yCat.2246....0C,0.039999999,Vega,H,6.116000175,2003yCat.2246....0C,0.023,Vega,K,HD 102065|CD-79   482|CPC 22  1472|CPD-79   648|GC 16104|GSC 09419-00030|HIC  57192|HIP 57192|2MASS J11433692-8029004|PPM 377373|SAO 258622|SKY# 22181|TD1 15836|TIC 356817437|TYC 9419-30-1|[KSP2003] G300.0251-17.9969|[KSP2003] J114335.59-802901.3|Gaia DR2 5199488443628562944|Gaia DR3 5199488443628562944|Gaia DR1 5199488439331051264,[],YSO,Y*O,5.3002,2020yCat.1350....0G,,,,0,,,,B9IV,C,1975MSS...C01....0H,1,HD102065
199,GAM-LYR,* gam Lyr,190.1140684,18 58 56.6224,+32 41 22.400,11,11,0.180000007,0.219999999,90,A,O,2007A&A...474..653V,,,,,,,,10080,3.5,0.109999999,,SUN,,1986MNRAS.219..479B,3.140000105,1993A&AS..100..591O,0.01,Vega,U,3.200000048,1993A&AS..100..591O,0.007,Vega,B,3.25,1993A&AS..100..591O,0.009,Vega,V,3.200000048,2002yCat.2237....0D,,Vega,J,3.190000057,2002yCat.2237....0D,,Vega,H,3.200000048,2002yCat.2237....0D,,Vega,K,* gam Lyr|*  14 Lyr|ADS 11908 A|AG+32 1705|AKARI-IRC-V1 J1858566+324122|ALS 15831|BD+32  3286|CCDM J18590+3242A|CEL   4678|CSI+32  3286  1|FK5  713|GC 26086|GCRV 11437|GEN# +1.00176437|HD 176437|HIC  93194|HIP 93194|HR  7178|IDS 18552+3233 A|IRAS 18570+3237|JP11  3059|2MASS J18585663+3241222|N30 4214|NAME Sulafat|PLX 4407|PLX 4407.00|PMC 90-93   507|PPM  82139|Renson 49230|ROT  2700|SAO  67663|SKY# 35023|TD1 23665|TIC 20780347|TYC 2643-3346-1|UBV   16130|UBV M  23384|uvby98 100176437|WDS J18589+3241A|WEB 16153|Gaia DR2 2043823929419235328,[],Star,*,5.26,2007A&A...474..653V,,71,,0,,2017A&A...597A..22S,-20.2,B9III,C,,1,GAM-LYR
401,HD161817,HD 161817,190.4254104,17 46 40.6293,+25 44 56.940,14,14,0.013,0.0167,90,A,O,2020yCat.1350....0G,,,,,,,,7779,2.430000067,-1.309999943,,SUN,,2019A&A...627A.138A,7.230000019,2002yCat.2237....0D,,Vega,U,7.130000114,2002yCat.2237....0D,,Vega,B,6.96999979,2002yCat.2237....0D,,Vega,V,6.413000107,2003yCat.2246....0C,0.028999999,Vega,J,6.339000225,2003yCat.2246....0C,0.026000001,Vega,H,6.289999962,2003yCat.2246....0C,0.023,Vega,K,HD 161817|AG+25 1831|AGKR 15839|BD+25  3344|FHB 69|GC 24145|GCRV 10287|GEN# +1.00161817|GSC 02081-03673|HIC  87001|HIP 87001|2MASS J17464062+2544569|NSV  9679|PLX 4060.1|PLX 4060.10|PMC 90-93  4241|PPM 106329|SAO  85402|SKY# 32139|TD1 20996|TIC 460087695|TYC 2081-3673-1|UBV   15139|UBV M  22401|uvby98 100161817|WEB 14679|YZ  25  8422|Gaia DR2 4582148604918575744|Gaia DR3 4582148604918575744|Gaia DR1 4582148600620284160,[],HorBranch*,HB*,5.2514,2020yCat.1350....0G,,,,0,,,-363.2,sdA2,C,,1,HD161817
991,TYC-5331-1560-1,[CW83] 0512-08,191.0767173,05 14 43.9316,-08 48 06.372,14,14,0.038199998,0.029300001,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,10.97000027,2000A&A...355L..27H,0.050000001,Vega,B,11.34000015,2000A&A...355L..27H,0.100000001,Vega,V,11.84000015,2003yCat.2246....0C,0.024,Vega,J,11.97000027,2003yCat.2246....0C,0.022,Vega,H,12.09599972,2003yCat.2246....0C,0.024,Vega,K,TYC 5331-1560-1|GSC 05331-01560|2MASS J05144393-0848064|TD1 32702|TIC 231308507|uvby98 942051208|[CW83] 0512-08|Gaia DR2 3206674676854713344|Gaia DR3 3206674676854713344,[],HotSubdwarf,HS*,5.2335,2020yCat.1350....0G,,,,0,,,,sdO,D,1980A&A....85..367B,1,TYC-5331-1560-1
173,DR-TAU,V* DR Tau,192.9645138,04 47 06.2151,+16 58 42.813,14,14,0.033300001,0.0149,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,12.02999973,2002yCat.2237....0D,,Vega,U,11.85999966,2002yCat.2237....0D,,Vega,B,10.5,2002yCat.2237....0D,,Vega,V,8.845000267,2003yCat.2246....0C,0.024,Vega,J,7.800000191,2003yCat.2246....0C,0.050000001,Vega,H,6.874000072,2003yCat.2246....0C,0.017000001,Vega,K,TYC 1271-1233-1|AKARI-IRC-V1 J0447062+165842|CSI+16-04442|EPIC 246923113|GCRV 55412|GSC 01271-01233|HBC  74|IRAS 04442+1653|IRAS F04442+1653|JCMTSE J044706.1+165842|JCMTSF J044706.1+165842|2MASS J04470620+1658428|MHA 257-8|PSCz P04442+1653|SV* SVS  1088|TIC 436614005|UBV    4574|UCAC2  37661005|UCAC3 214-21403|V* DR Tau|WISEA J044706.20+165842.8|WISE J044706.22+165842.8|[LC2009] 9|AAVSO 0441+16B|Gaia DR3 3406081865148861440|Gaia DR1 3406081860852425600|Gaia DR2 3406081865148861440,[],OrionV*,Or*,5.1823,2020yCat.1350....0G,,6.260000229,0.119999997,0,,2012ApJ...745..119N,21.1,K5Ve,C,1949ApJ...110..424J,1,DR-TAU
1055,WD1034+001,PG 1034+001,192.9794091,10 37 03.8002,-00 08 19.118,14,14,0.055799998,0.072800003,90,A,O,2020yCat.1350....0G,,,,,,,,35357,4.800000191,,,,,2021ApJS..256...28L,11.58899975,1992AJ....104..340L,0.003,Vega,U,12.86299992,1992AJ....104..340L,0.002,Vega,B,13.22799969,1992AJ....104..340L,0.002,Vega,V,14.05900002,2003yCat.2246....0C,0.029999999,Vega,J,14.16300011,2003yCat.2246....0C,0.039000001,Vega,H,14.37199974,2003yCat.2246....0C,0.074000001,Vega,K,GSC 04912-00085|FBS 1034+001|LAMOST J103703.80-000819.1|2MASS J10370381-0008193|MGC  9713|PG 1034+001|PG 1034+00|2RXP J103703.8-000822|SDSS J103703.80-000819.1|TIC 124598476|UCAC2  31685808|WD 1034+001|Gaia DR3 3806885288337214848|Gaia DR2 3806885288337214848,[],HotSubdwarf,HS*,5.1819,2020yCat.1350....0G,,,,0,,,65,sdB/sdO,E,2019ApJ...881....7L,1,WD1034+001
516,HD35580,* kap Pic,195.4384662,05 22 22.1468,-56 08 03.836,14,14,0.059700001,0.054699998,90,A,O,2020yCat.1350....0G,,,,,,,,7750,4,,,,,2020AJ....160...83S,,,,,,5.997000217,2000A&A...355L..27H,0.014,Vega,B,6.085999966,2000A&A...355L..27H,0.009,Vega,V,6.264999866,2003yCat.2246....0C,0.026000001,Vega,J,6.298999786,2003yCat.2246....0C,0.039999999,Vega,H,6.288000107,2003yCat.2246....0C,0.02,Vega,K,* kap Pic|CPC 20  1334|CPD-56   840|FK5 2403|GC  6644|GCRV 56151|GEN# +1.00035580|GSC 08522-01338|HD  35580|HIC  25098|HIP 25098|HR  1801|2MASS J05222214-5608038|N30 1158|PPM 334280|RAVE J052222.1-560804|SAO 233952|SKY#  8522|TD1  4584|TIC 382147200|TYC 8522-1338-1|UBV    5164|UBV M  10951|uvby98 100035580|WEB  4868|Gaia DR2 4769446218819941888|Gaia DR3 4769446218819941888,[],Star,*,5.1167,2020yCat.1350....0G,,264,,0,D,2002A&A...393..897R,-5,B8/9V,D,1975MSS...C01....0H,1,HD35580
553,HD59635,* y Pup,196.6839093,07 29 05.6951,-38 48 43.442,14,14,0.074699998,0.074000001,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,,,,,,5.243000031,2000A&A...355L..27H,0.014,Vega,B,5.394999981,2000A&A...355L..27H,0.009,Vega,V,5.714000225,2003yCat.2246....0C,0.023,Vega,J,5.806000233,2003yCat.2246....0C,0.035999998,Vega,H,5.822000027,2003yCat.2246....0C,0.027000001,Vega,K,* y Pup|ALS 16340|CD-38  3400|CEL   1888|CPC 18  3064|CPD-38  1351|2EUVE J0729-38.8|EUVE J0729-38.8|EUVE J0729-38.7|FK5 2580|GC 10033|GCRV  4998|GEN# +1.00059635|GSC 07643-02149|HD  59635|HIC  36363|HIP 36363|HR  2875|2MASS J07290569-3848434|PMC 90-93  1263|PPM 284010|2RE J0729-384|2RE J072905-384855|Renson 16280|RE J0729-388|RE J0729-384|RE J072903-384910|ROT  1213|1RXS J072905.9-384839|SACS 163|SAO 198045|SKY# 13677|TD1 10304|TIC 173512656|TYC 7643-2149-1|UBV    7254|UBV M  13338|uvby98 100059635|WEB  7236|Gaia DR2 5585775259612387840|Gaia DR3 5585775259613338368,[],XrayBin,XB*,5.0843,2020yCat.1350....0G,,38,,0,D,1970CoKwa.189....0U,24,B3V,C,1982MSS...C03....0H,1,HD59635
541,HD50013,* kap CMa,202.020202,06 49 50.4593,-32 30 30.522,11,11,0.079999998,0.100000001,90,A,O,2007A&A...474..653V,,,,,,,,26000,3.900000095,,,,,2018MNRAS.474.5287A,2.730000019,2002yCat.2237....0D,,Vega,U,3.680000067,2002yCat.2237....0D,,Vega,B,3.890000105,2002yCat.2237....0D,,Vega,V,3.680000067,2002yCat.2237....0D,,Vega,J,3.640000105,2002yCat.2237....0D,,Vega,H,3.5,2002yCat.2237....0D,,Vega,K,* kap CMa|*  13 CMa|ALS 14870|CD-32  3404|CPC 17  2994|CPD-32  1311|EM* MWC  155|EUVE J0649-32.4|FK5 1180|GC  8946|GCRV  4452|GEN# +1.00050013|GSC 07092-02576|HD  50013|Hen 3-18|HIC  32759|HIP 32759|HR  2538|IRAS 06479-3226|JP11  1437|2MASS J06495046-3230305|N30 1488|PMC 90-93   796|PPM 283177|ROT  6464|SAO 197258|SKY# 12056|SRS  31180|TD1  8307|TIC 52982382|TYC 7092-2576-1|UBV    6783|UBV M  12504|uvby98 100050013|V* kap CMa|WEB  6594|[JE82]  243|AAVSO 0646-32|Gaia DR3 5583216215017531648|Gaia DR2 5583216210720045568,[],Be*,Be*,4.95,2007A&A...474..653V,,290,6,0,,2018MNRAS.474.5287A,14,B1.5Ve,C,2006MNRAS.371..252L,1,HD50013
496,HD27778,*  62 Tau,212.1700755,04 23 59.7627,+24 18 03.527,14,14,0.026900001,0.0143,90,A,O,2020yCat.1350....0G,,,,,,,,15345,3.785000086,,,,,2010ApJ...722..605H,6.179999828,2003AJ....125.2531R,,Vega,U,6.499000072,2000A&A...355L..27H,0.015,Vega,B,6.336999893,2000A&A...355L..27H,0.01,Vega,V,5.945000172,2003yCat.2246....0C,0.018999999,Vega,J,5.952000141,2003yCat.2246....0C,0.026000001,Vega,H,5.934000015,2003yCat.2246....0C,0.023,Vega,K,*  62 Tau|ADS  3179 A|AG+24  405|ALS 17961|BD+23   684|CCDM J04240+2419A|CSI+23   684  1|GC  5322|GCRV  2543|GEN# +1.00027778A|GSC 01816-01891|HD  27778|HGAM    330|HIC  20533|HIP 20533|HR  1378|IDS 04180+2404 A|2MASS J04235976+2418036|PPM  93490|SAO  76591|SKY#  6768|TIC 58545683|TYC 1816-1891-1|UBV    4242|uvby98 100027778 A|WDS J04240+2418A|WEB  3927|YZ  24  1417|Gaia DR2 149308357591150336|Gaia DR3 149308357591150336,[],Star,*,4.7132,2020yCat.1350....0G,,101,10,0,,2010ApJ...722..605H,7.2,B3V,C,2020A&A...641A..35S,1,HD27778
43,ADS-4134-A,* del Ori,212.3142251,05 32 00.4000,-00 17 56.742,9,9,4.920000076,2.380000114,90,A,O,2007A&A...474..653V,,,,,,,,30100,3.329999924,,,,,2022A&A...665A.150H,0.959999979,2002yCat.2237....0D,,Vega,U,2.019999981,2002yCat.2237....0D,,Vega,B,2.410000086,2002A&A...384..180F,0.01,Vega,V,2.720000029,2002yCat.2237....0D,,Vega,J,2.839999914,2002yCat.2237....0D,,Vega,H,2.880000114,2002yCat.2237....0D,,Vega,K,"* del Ori|*  34 Ori|* del01 Ori|** HEI   42|** STF 4014A|ADS  4134 A|AG-00  648|ALS 14779|BD-00   983|CEL    764|CGO  92|CSI-00   983  3|CSI-00   983  1|1E 052926+0020.0|2E  1293|2E 0529.4-0019|1ES 0529-00.3|EUVE J0532-00.2|FK5  206|GC  6847|GCRV  3361|GEN# +1.00036486A|GSC 04766-02445|HD  36486|HGAM    419|HIC  25930|HIP 25930|HR  1852|IDS 05269-0022 A|IRAS 05294-0020|JP11  1136|2MASS J05320040-0017566|MCW  324|N30 1185|NAME Mintaka|PMC 90-93   149|PMSC 05269-0022A|PPM 175888|ROT   839|1RXS J053200.8-001755|SAO 132220|SBC7   233|SBC9 331|SKY#  8880|TIC 50743469|UBV   21591|UBV M  11108|UBV   21590|V* del Ori|WDS J05320-0018Aa,Ab|WDS J05320-0018A|WEB  5041|WH 141|Gaia DR3 3220756843825383936",[],SB*,SB*,4.71,2007A&A...474..653V,,100,,0,,2022A&A...665A.150H,18.5,O9.5IINwk,C,2020A&A...639A..81B,1,ADS-4134-A
552,HD54893,* A Pup,223.2142857,07 08 51.0682,-39 39 20.357,11,11,0.100000001,0.129999995,90,A,O,2007A&A...474..653V,,,,,,,,0,,,,,,,3.960000038,2002yCat.2237....0D,,Vega,U,4.650000095,2002yCat.2237....0D,,Vega,B,4.829999924,2002yCat.2237....0D,,Vega,V,5.229000092,2003yCat.2246....0C,0.048,Vega,J,5.28399992,2003yCat.2246....0C,0.030999999,Vega,H,5.303999901,2003yCat.2246....0C,0.016000001,Vega,K,HD  54893|* A Pup|ALS 14876|CD-39  3105|CEL   1619|CPC 18  2859|CPD-39  1282|FK5 2551|GC  9463|GCRV  4715|GEN# +1.00054893|GSC 07633-02708|HIC  34495|HIP 34495|HR  2702|IRAS 07071-3934|JP11  1503|2MASS J07085107-3939202|N30 1570|NSV  3431|PPM 283569|ROT  1152|SACS 157|SAO 197632|SKY# 12851|TD1  9312|TIC 157656065|TYC 7633-2708-1|UBV    6993|UBV M  12950|uvby98 100054893|WEB  6911|[B10]  1845|Gaia DR2 5564659825994306176,[],Cepheid,Ce*,4.48,2007A&A...474..653V,,,,0,,,19.5,B3IV/V,D,1982MSS...C03....0H,1,HD54893
336,HD117555,V* FK Com,224.5727503,13 30 46.7996,+24 13 57.781,14,14,0.021299999,0.0151,90,A,O,2020yCat.1350....0G,5920000,,km,,V,,2009A&ARv..17..251S,0,,,,,,,,,,,,9.039999962,,,Vega,B,8.244999886,2012AcA....62...67K,0.067000002,Vega,V,6.540999889,2003yCat.2246....0C,0.021,Vega,J,6.089000225,2003yCat.2246....0C,0.017999999,Vega,H,5.997000217,2003yCat.2246....0C,0.015,Vega,K,HD 117555|** H   70C|ADS  8929 C|AG+24 1389|ASAS J133047+2413.7|BD+24  2592|CCDM J13308+2414C|CMC  408965|2E  3074|2E 1328.4+2429|1ES 1328+24.4|FIRST J133046.8+241358|GC 18264|GCRV 64172|GEN# +1.00117555|GSC 01997-00553|HIC  65915|HIP 65915|IDS 13261+2445 C|2MASS J13304681+2413577|PPM 102654|RX J1330.8+2413|RX J1330.7+2413|1RXS J133047.5+241349|SAO  82867|SDSS J133046.75+241357.8|TIC 368128155|TYC 1997-553-1|UBV M  19464|uvby98 100117555|V* FK Com|WDS J13309+2414C|2XMM J133046.8+241357|YZ   0   878|YZ  24  4805|[ZEH2003] RX J1330.7+2413  1|AAVSO 1326+24|Gaia DR3 1443378980216311552|Gaia DR1 1443378975920360704|Gaia DR2 1443378980216311552,[],HighPM*,PM*,4.4529,2020yCat.1350....0G,,,,0,,,-21,G4III,C,2009A&ARv..17..251S,1,HD117555
626,HS1136+6646,HS 1136+6646,224.8706993,11 39 05.7718,+66 30 17.776,14,14,0.0254,0.0298,90,A,O,2020yCat.1350....0G,,,,,,,,83090,7.309999943,,,,,2011ApJ...743..138G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD 1136+667|** LIE    1A|FBS B  800|FBS 1136+668|HS 1136+6646|SDSS J113905.78+663017.8|SDSS J113905.78+663017.9|WDS J11391+6630A|Gaia DR3 1057033477801391360|Gaia DR2 1057033477801391360,[],WhiteDwarf,WD*,4.447,2020yCat.1350....0G,,,,0,,,,DAO.6,C,2011ApJ...743..138G,1,HS1136+6646
411,HD170740,HD 170740,226.4544034,18 31 25.6939,-10 47 45.008,14,14,0.060899999,0.061099999,90,A,O,2020yCat.1350....0G,,,,,,,,0,,,,,,,5.510000229,2002yCat.2237....0D,,Vega,U,5.960000038,2002yCat.2237....0D,,Vega,B,5.71999979,2002yCat.2237....0D,,Vega,V,5.222000122,2003yCat.2246....0C,0.037,Vega,J,5.248000145,2003yCat.2246....0C,0.046999998,Vega,H,5.126999855,2003yCat.2246....0C,0.024,Vega,K,HD 170740|** STF 2325A|ADS 11414 A|ALS  9707|BD-10  4713|CCDM J18314-1048A|CSI-10  4713  1|GC 25282|GCRV 10985|GSC 05695-00802|HGAM    702|HIC  90804|HIP 90804|HR  6946|IDS 18259-1052 A|LS  IV -10   11|2MASS J18312570-1047449|N30 4109|PPM 234650|SAO 161569|SKY# 33886|SSTGLMC G021.0573-00.5259|TD1 22597|TIC 424643149|TYC 5695-802-1|UBV M  23014|uvby98 100170740 A|VDB 124|WDS J18314-1048A|WEB 15563|YZC 11  6338|[B10]  4687|Gaia DR2 4154910272219704960|Gaia DR3 4154910272219704960,[],SB*,SB*,4.4159,2020yCat.1350....0G,,43,,0,,2017A&A...597A..22S,-15.4,B2V+,C,2020A&A...641A..35S,1,HD170740
603,HD99872,HD  99872,240.3846154,11 28 18.4139,-72 28 26.326,9,9,3.519999981,3.160000086,89,A,O,2007A&A...474..653V,,,,,,,,0,,,,,,,5.829999924,2003AJ....125.2531R,,Vega,U,6.221000195,2000A&A...355L..27H,0.014,Vega,B,6.114999771,2000A&A...355L..27H,0.009,Vega,V,5.722000122,2003yCat.2246....0C,0.021,Vega,J,5.705999851,2003yCat.2246....0C,0.023,Vega,H,5.65899992,2003yCat.2246....0C,0.021,Vega,K,CCDM J11283-7228AB|** B 1699|ALS 16287|CD-71   762|CPC 21.2  1682|CPD-71  1253|GC 15746|GCRV 26040|GEN# +1.00099872|GSC 09233-02659|HD  99872|HIC  55979|HIP 55979|HR  4425|IDS 11242-7155 AB|2MASS J11281840-7228263|PPM 371123|SAO 256843|SKY# 21774|TD1 15663|TIC 454543924|UBV   10387|UCAC4 088-027453|uvby98 100099872|WDS J11283-7228AB|WISE J112818.38-722826.5|Gaia DR3 5227739398477553280|Gaia DR2 5227739398477553280,[],**,**,4.16,2007A&A...474..653V,,,,0,,,12,B3V,C,2020A&A...641A..35S,1,HD99872
577,HD79931,*  24 Hya,240.7723979,09 16 41.3667,-08 44 41.130,14,14,0.068000004,0.092100002,90,A,O,2020yCat.1350....0G,,,,,,,,11218,3.403000116,,,,,2010ApJ...722..605H,5.079999924,2003AJ....125.2531R,,Vega,U,5.395999908,2000A&A...355L..27H,0.014,Vega,B,5.467999935,2000A&A...355L..27H,0.01,Vega,V,5.553999901,2003yCat.2246....0C,0.02,Vega,J,5.646999836,2003yCat.2246....0C,0.037999999,Vega,H,5.585999966,2003yCat.2246....0C,0.021,Vega,K,*  24 Hya|ALS 16437|BD-08  2623|GC 12802|GCRV  6052|GEN# +1.00079931|GSC 05458-01843|HD  79931|HERZ 13262|HIC  45526|HIP 45526|HR  3683|2MASS J09164136-0844411|PPM 192209|ROT  1457|SAO 136728|SKY# 17898|TD1 13749|TIC 60787782|TYC 5458-1843-1|UBV    8866|UBV M  15251|uvby98 100079931|WEB  8656|YZ  98  3616|Gaia DR2 5743188422345872512|Gaia DR3 5743188422345872512,[],Star,*,4.1533,2020yCat.1350....0G,,67,,0,,2017A&A...597A..22S,8.1,B3III/IV,D,1999MSS...C05....0H,1,HD79931
